y,A,Z,N,A^2,A^3,A^4,A^1/2,A^1/3,A^2/3,1/A,1/A^2,1/A^3,1/A^4,A^-1/2,A^-1/3,A^-2/3,Z^2,Z^3,Z^4,Z^1/2,Z^1/3,Z^2/3,1/Z,1/Z^2,1/Z^3,1/Z^4,Z^-1/2,Z^-1/3,Z^-2/3,N^2,N^3,N^4,N^1/2,N^1/3,N^2/3,1/N,1/N^2,1/N^3,1/N^4,N^-1/2,N^-1/3,N^-2/3,Parity
3.924521,8,2,6,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,4,8,16,1.414213562,1.25992105,1.587401052,0.5,0.25,0.125,0.0625,0.707106781,0.793700526,0.629960525,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,1
5.1597124,8,3,5,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,-1
7.0624356,8,4,4,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,1
4.7171551,8,5,3,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,-1
3.1015242,8,6,2,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,4,8,16,1.414213562,1.25992105,1.587401052,0.5,0.25,0.125,0.0625,0.707106781,0.793700526,0.629960525,1
3.349038,9,2,7,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,4,8,16,1.414213562,1.25992105,1.587401052,0.5,0.25,0.125,0.0625,0.707106781,0.793700526,0.629960525,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,0
5.0377685,9,3,6,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,0
6.4626693,9,4,5,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,0
6.2570713,9,5,4,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,0
4.3374233,9,6,3,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,0
